Bird;Car;Moon;Music;Fire;Book;Love
Bird;Mountain;Justice;Chocolate;Dream;Chair;Time
Apple;Love;Fire;Mountain;Music;Book;Clock
Dog;Time;Love;Mountain;Pencil;Music;Waterfalls
Dog;Love;Book;Fire;Time;Water;Money
Flower;elephant;love;time;sky;book;water
Dog;Cloud;Justice;Music;Happiness;Mountain;Sandwich.
Car;apple;justice;music;sky;love;time
Dog;umbrella;freedom;computer;music;book;sky
Dog;elephant;love;computer;justice;tree;starfish
Chair;Ocean;Happiness;Rock;Time;Lion;Freedom
Dog;airplane;love;banana;war;peace;computer
Dog;Water;Love;Chair;Music;Fire;Time
Dog;Desire;Moon;Justice;Music;Fire;Loneliness
Planet;banana;wisdom;hammer;sky;freedom;river
Dog;Car;Love;Time;Freedom;Knowledge;Music
Elephant;Religion;Velocity;Rainbow;Cupcake;Justice;Music
Dog;Cloud;Thunder;Love;Book;Space;Lemon
Elephant;Love;Airplane;Justice;Banana;Computer;Mountains
Dog;Stage;Thunder;Book;Love;Mountain;Music
Dog;moon;cake;laughter;hammer;love;airplane
Elephant;Cloud;Justice;Music;Knife;Hope;Sunrise
Dog;moon;water;love;chair;book;fire
Chair;Ocean;Love;Hammer;Freedom;Music;Tree
Apple;Car;Freedom;Love;Mountain;Time;Water
Car;Fire;Sun;Book;Rain;Love;Mountain
Dog;Car;Love;Revolution;Mountain;Music;Dream
Dog;Sun;Time;Ocean;Love;War;Music
Dog;Galaxy;Happiness;Hammer;Ocean;Music;Time
Carrot;Time;Love;Sun;Moon;Chair;Guitar
Dog;airplane;happiness;death;banana;mountain;time
Dog;Chair;Love;Time;Dream;Money;Peace
apple;love;hammer;ocean;pain;tree;fire
Dog;moon;happiness;guitar;hammer;time;confusion
Dog;airplane;dream;justice;sun;computer;love
Heart;Mountain;Book;Fire;Butterfly;Hammer;Cloud
Dog;Mountain;Happiness;Car;Piano;Truth;Firefly
Dog;airplane;love;cactus;justice;moon;laughter
Dog;sky;love;car;apple;time;tree
Dog;Moon;Love;Thunder;Time;Freedom;Chocolate
Dog;plane;justice;love;mountain;logic;music
Dog;airplane;love;math;cookie;fire;whale
Dog;planet;love;hammer;truth;cloud;music
Chair;elephant;irony;love;stars;water;success
Dog;Mountain;Love;Clock;Fire;Book;Music
Apple;Chair;Love;Thunderstorm;Democracy;Tiger;Solution
Dog;airplane;laughter;mountain;truth;umbrella;diamond
Dog;Heart;Plane;Ocean;Book;Clock;Mountain
Dog;Mountain;Love;Computer;Peace;Music;Money
Apple;Love;Mountain;Time;Truth;Chair;Music
Apple;chair;justice;cloud;love;time;courage
Dog;chair;love;airplane;truth;banana;time
Car;Ocean;Happiness;Pyramid;Guitar;Moon;Freedom
elephant;sun;whisper;computer;love;hurricane;laughter
Dog;star;tree;love;time;justice;banana
Chair;Love;Cloud;Book;Fire;Peace;Shoes
Dog;moon;justice;fire;apple;love;hammer
Elephant;Guitar;Science;Happiness;Ocean;Democracy;Friendship
Dog;Love;Flight;Money;Time;Hope;Taste
Dog;airplane;love;mountain;music;computer;depression
Dog;airplane;love;hurricane;computer;peace;mountain
Tree;Cloud;Love;Book;Fire;Money;Time
Apple;Love;Chair;Freedom;Mountain;Sun;Time
Apple;Ocean;Freedom;Elephant;Music;Courage;Time
Sun;cat;airplane;happiness;hammer;computer;justice
Dog;moon;love;air;hammer;time;peace
Apple;Car;Courage;Time;Love;Mountain;Coffee
Dog;star;love;hammer;music;cloud;book
Dog;airplane;love;justice;hammer;laughter;elephant
Elephant;Planet;Sun;Love;Time;Computer;Water
Dog;ship;happiness;cloud;book;hammer;laughter
Dog;Time;Freedom;Water;Music;Book;Money
apple;love;airplane;elephant;mountain;sunshine;laughter
Apple;love;book;hammer;cloud;laughter;fireworks
Dog;moon;fire;book;chair;love;water
Car;Flower;Justice;Guitar;Planet;Heart;Book
Chair;Butterfly;Computer;Moon;Love;Spaghetti;Knowledge
Car;apple;love;elephant;music;conspiracy;peace
Dog;airplane;love;table;justice;music;lightbulb
Dog;Space;Love;Knife;Freedom;Music;Time
Chair;Mountain;Love;Fire;Wisdom;Robot;Poetry
Dog;Candle;Love;Computer;Mountain;Music;Justice
Dog;Technology;Love;Moon;Coffee;Justice;Music
Dog;Chocolate;Music;Sun;Love;Book;Money
Dog;Car;Love;Time;Lemon;Justice;Sunrise
Elephant;Rainbow;Justice;Plane;Sunshine;Adventure;Guitar
Apple;Love;Car;Moon;Justice;Music;Time
Dog;Mountain;Love;Computer;Truth;Fire;Music
Whale;Fire;Cake;Truth;Laptop;Love;Mountain
Dog;Plane;Love;Technology;Tree;Chocolate;Music
Dog;computer;love;mountain;friendship;car;peace
Lion;Cloud;Bicycle;Laughter;Anchor;Mirror;Harmony
Chair;mountain;music;cloud;freedom;book;hammer
Dog;tree;love;anger;banana;book;firefly
Ocean;book;diamond;fire;cloud;hammer;thought
Dog;moon;television;love;time;tree;money
Car;Apple;Love;Blue;Water;Mountain;Music
Ocean;fire;shoe;happiness;umbrella;computer;banana
Dog;Love;Planet;Music;Internet;Banana;Justice
Apple;Chair;Love;Planet;Justice;Time;"Music
"
